description,category,subcategory
Bayar ansuran rumah,needs,Financial Services
Beli barang dapur,needs,Food & Beverage
Grocery shopping,needs,Food & Beverage
Groceries at Jaya,needs,Food & Beverage
Beli groceries,needs,Food & Beverage
Weekly groceries,needs,Food & Beverage
Market shopping,needs,Food & Beverage
Beli sayur,needs,Food & Beverage
Buy vegetables,needs,Food & Beverage
Fresh produce,needs,Food & Beverage
Beli ayam,needs,Food & Beverage
Chicken and meat,needs,Food & Beverage
Protein groceries,needs,Food & Beverage
Beli ikan,needs,Food & Beverage
Fish market,needs,Food & Beverage
Seafood for cooking,needs,Food & Beverage
Beli beras,needs,Food & Beverage
Rice purchase,needs,Food & Beverage
Staple food,needs,Food & Beverage
Beli minyak masak,needs,Food & Beverage
Cooking oil,needs,Food & Beverage
Kitchen essentials,needs,Food & Beverage
Barang basah,needs,Food & Beverage
Wet market,needs,Food & Beverage
Pasar malam,needs,Food & Beverage
Beli ubat,needs,Food & Beverage
Medication,needs,Food & Beverage
Pharmacy purchase,needs,Food & Beverage
Medicine from Guardian,needs,Food & Beverage
Ubat dari farmasi,needs,Food & Beverage
Prescription drugs,needs,Food & Beverage
Medical supplies,needs,Food & Beverage
Vitamins and supplements,needs,Food & Beverage
Health medication,needs,Food & Beverage
Antibiotics,needs,Food & Beverage
Beli susu anak,needs,Food & Beverage
Baby formula,needs,Food & Beverage
Infant milk,needs,Food & Beverage
Susu bayi,needs,Food & Beverage
Formula for baby,needs,Food & Beverage
Baby food,needs,Food & Beverage
Makanan bayi,needs,Food & Beverage
Cerelac,needs,Food & Beverage
Baby essentials food,needs,Food & Beverage
Similac formula,needs,Food & Beverage
Makan tengahari,needs,Food & Beverage
Lunch at restaurant,needs,Food & Beverage
Lunch for work,needs,Food & Beverage
Makan di pejabat,needs,Food & Beverage
Office lunch,needs,Food & Beverage
Packed lunch,needs,Food & Beverage
Nasi bungkus,needs,Food & Beverage
Economy rice,needs,Food & Beverage
Nasi campur,needs,Food & Beverage
Simple lunch,needs,Food & Beverage
Dinner with family,needs,Food & Beverage
Family meal,needs,Food & Beverage
Makan malam,needs,Food & Beverage
Dinner at home,needs,Food & Beverage
Cook dinner,needs,Food & Beverage
Masak untuk keluarga,needs,Food & Beverage
Home cooked meal,needs,Food & Beverage
Breakfast essentials,needs,Food & Beverage
Sarapan pagi,needs,Food & Beverage
Morning meal,needs,Food & Beverage
Minyak petrol,needs,Transportation
Isi minyak kereta,needs,Transportation
Fuel for bike,needs,Transportation
Petrol for car,needs,Transportation
Gasoline,needs,Transportation
Minyak motor,needs,Transportation
Fill up petrol,needs,Transportation
Fuel tank,needs,Transportation
Petrol station,needs,Transportation
Shell petrol,needs,Transportation
Petronas fuel,needs,Transportation
Diesel for car,needs,Transportation
Minyak diesel,needs,Transportation
Gas station,needs,Transportation
Full tank petrol,needs,Transportation
Bayar tol,needs,Transportation
Touch n Go,needs,Transportation
TNG reload,needs,Transportation
Toll payment,needs,Transportation
Highway toll,needs,Transportation
Plus toll,needs,Transportation
E-wallet for toll,needs,Transportation
Top up TNG,needs,Transportation
Tambah Touch n Go,needs,Transportation
RFID toll,needs,Transportation
RapidKL,needs,Transportation
LRT fare,needs,Transportation
MRT ticket,needs,Transportation
Public transport,needs,Transportation
Tambang LRT,needs,Transportation
Train fare,needs,Transportation
KTM komuter,needs,Transportation
Transit pass,needs,Transportation
My50 pass,needs,Transportation
Monthly transport pass,needs,Transportation
Tambang bas,needs,Transportation
Bus fare,needs,Transportation
Rapid bus,needs,Transportation
Bas harian,needs,Transportation
City bus,needs,Transportation
Stage bus,needs,Transportation
Express bus ticket,needs,Transportation
Bas ke kampung,needs,Transportation
Travel by bus,needs,Transportation
Public bus,needs,Transportation
Grab ride,needs,Transportation
Grab to work,needs,Transportation
Ride to office,needs,Transportation
Emergency Grab,needs,Transportation
Grab home,needs,Transportation
Taxi fare,needs,Transportation
Uber ride,needs,Transportation
Transport to hospital,needs,Transportation
Ride to clinic,needs,Transportation
Commute cost,needs,Transportation
Parking fee,needs,Transportation
Parking at office,needs,Transportation
Monthly parking,needs,Transportation
Parking ticket,needs,Transportation
Bayar parking,needs,Transportation
Car park,needs,Transportation
Office parking fee,needs,Transportation
Building parking,needs,Transportation
Paid parking,needs,Transportation
Parking for work,needs,Transportation
Bayar bil internet,needs,Telecommunication
Internet bill,needs,Telecommunication
Unifi bill,needs,Telecommunication
Broadband payment,needs,Telecommunication
WiFi bill,needs,Telecommunication
Internet bulanan,needs,Telecommunication
Time internet,needs,Telecommunication
Maxis Fibre,needs,Telecommunication
Home internet,needs,Telecommunication
Streamyx bill,needs,Telecommunication
Phone bill,needs,Telecommunication
Bayar bil telefon,needs,Telecommunication
Mobile bill,needs,Telecommunication
Postpaid bill,needs,Telecommunication
Celcom bill,needs,Telecommunication
Digi postpaid,needs,Telecommunication
Maxis postpaid,needs,Telecommunication
Phone plan,needs,Telecommunication
Monthly mobile,needs,Telecommunication
Prepaid reload,needs,Telecommunication
Utilities,needs,Telecommunication
Utility bills,needs,Telecommunication
Monthly utilities,needs,Telecommunication
Bayar utilities,needs,Telecommunication
Home utilities,needs,Telecommunication
Essential bills,needs,Telecommunication
TNB bill,needs,Telecommunication
Bayar bil elektrik,needs,Telecommunication
Electricity bill,needs,Telecommunication
Electric bill,needs,Telecommunication
Tenaga Nasional,needs,Telecommunication
Power bill,needs,Telecommunication
Bayar TNB,needs,Telecommunication
Monthly electric,needs,Telecommunication
Bil letrik,needs,Telecommunication
Energy bill,needs,Telecommunication
Bil air,needs,Telecommunication
Water bill,needs,Telecommunication
Air Selangor,needs,Telecommunication
Water utility,needs,Telecommunication
SYABAS bill,needs,Telecommunication
Bayar bil air,needs,Telecommunication
Monthly water,needs,Telecommunication
Water payment,needs,Telecommunication
Piped water,needs,Telecommunication
Utility air,needs,Telecommunication
IWK bill,needs,Telecommunication
Sewerage bill,needs,Telecommunication
Indah Water,needs,Telecommunication
Bayar IWK,needs,Telecommunication
Sanitation bill,needs,Telecommunication
Sewerage payment,needs,Telecommunication
Waste water,needs,Telecommunication
Monthly IWK,needs,Telecommunication
Drainage bill,needs,Telecommunication
Klinik,needs,Others
Jumpa doktor,needs,Others
Hospital visit,needs,Others
Medical checkup,needs,Others
Doctor appointment,needs,Others
See doctor,needs,Others
Consultation fee,needs,Others
Medical consultation,needs,Others
Klinik panel,needs,Others
GP visit,needs,Others
Beli buku sekolah,needs,Others
School fees,needs,Others
Yuran sekolah,needs,Others
Tuition fees,needs,Others
School payment,needs,Others
Educational expenses,needs,Others
Textbooks,needs,Others
School supplies,needs,Others
Stationery for school,needs,Others
Alat tulis,needs,Others
Yuran universiti,needs,Others
University fees,needs,Others
College tuition,needs,Others
Semester fees,needs,Others
Course payment,needs,Others
Education cost,needs,Others
Registration fee,needs,Others
Exam fees,needs,Others
Lab fees,needs,Others
Academic expenses,needs,Others
Repair kereta,needs,Others
Servis motor,needs,Others
Car service,needs,Others
Vehicle maintenance,needs,Others
Oil change,needs,Others
Tukar minyak hitam,needs,Others
Brake service,needs,Others
Tune up,needs,Others
Car repair,needs,Others
Workshop fee,needs,Others
Maintenance,needs,Others
Home repair,needs,Others
House maintenance,needs,Others
Fix broken pipe,needs,Others
Plumber service,needs,Others
Electrical repair,needs,Others
Aircond service,needs,Others
Repair roof,needs,Others
Painting walls,needs,Others
Home improvement,needs,Others
Beli pampers,needs,Others
Diapers,needs,Others
Disposable diapers,needs,Others
Lampin pakai buang,needs,Others
Baby diapers,needs,Others
Pampers pack,needs,Others
Diaper supply,needs,Others
Huggies,needs,Others
Drypers,needs,Others
Baby essentials,needs,Others
Barang tandas,needs,Others
Toiletries,needs,Others
Bathroom supplies,needs,Others
Tissue toilet,needs,Others
Toilet paper,needs,Others
Shampoo,needs,Others
Sabun mandi,needs,Others
Toothpaste,needs,Others
Personal hygiene,needs,Others
Cleaning supplies,needs,Others
Laundry detergent,needs,Others
Washing powder,needs,Others
Dishwashing soap,needs,Others
Cleaning products,needs,Others
Home cleaning,needs,Others
Sabun cuci,needs,Others
Pembersih rumah,needs,Others
Mop and bucket,needs,Others
Cleaning materials,needs,Others
Household items,needs,Others
Dental checkup,needs,Others
Teeth cleaning,needs,Others
Dentist visit,needs,Others
Scaling gigi,needs,Others
Dental treatment,needs,Others
Tooth filling,needs,Others
Oral care,needs,Others
Dental appointment,needs,Others
Check gigi,needs,Others
Eye checkup,needs,Others
Spectacles,needs,Others
Glasses prescription,needs,Others
Contact lenses,needs,Others
Eye test,needs,Others
New glasses,needs,Others
Cermin mata,needs,Others
Tukar cermin mata,needs,Others
Vision care,needs,Others
Beli kanta lekap,needs,Others
Pet food,needs,Others
Cat food,needs,Others
Dog food,needs,Others
Makanan kucing,needs,Others
Makanan anjing,needs,Others
Pet supplies,needs,Others
Kibbles,needs,Others
Pet care,needs,Others
Animal food,needs,Others
Vet visit,needs,Others
Childcare fees,needs,Others
Daycare payment,needs,Others
Nursery fees,needs,Others
Taska fees,needs,Others
Babysitter payment,needs,Others
Childminder,needs,Others
Preschool fees,needs,Others
Kindergarten,needs,Others
Tadika fees,needs,Others
Child supervision,needs,Others
Work clothes,needs,Others
Uniform kerja,needs,Others
Safety boots,needs,Others
Work attire,needs,Others
Professional clothing,needs,Others
Office wear,needs,Others
Work shoes,needs,Others
PPE equipment,needs,Others
Baju korporat,needs,Others
Work essentials,needs,Others
Fire extinguisher,needs,Others
First aid kit,needs,Others
Safety equipment,needs,Others
Emergency supplies,needs,Others
Home safety,needs,Others
Smoke detector,needs,Others
Security system,needs,Others
Door lock,needs,Others
Safety gear,needs,Others
House security,needs,Others
Starbucks,wants,Food & Beverage
Coffee,wants,Food & Beverage
Beli kopi,wants,Food & Beverage
Tealive,wants,Food & Beverage
Chatime,wants,Food & Beverage
Bubble tea,wants,Food & Beverage
Boba drink,wants,Food & Beverage
Zus Coffee,wants,Food & Beverage
Coffee Bean,wants,Food & Beverage
Kopi mahal,wants,Food & Beverage
Makan GrabFood,wants,Food & Beverage
Foodpanda,wants,Food & Beverage
Food delivery,wants,Food & Beverage
Order online food,wants,Food & Beverage
Delivery makan,wants,Food & Beverage
Grab delivery,wants,Food & Beverage
Panda delivery,wants,Food & Beverage
Lalamove food,wants,Food & Beverage
DoorDash,wants,Food & Beverage
Uber Eats,wants,Food & Beverage
Beli durian,wants,Food & Beverage
Musang King,wants,Food & Beverage
Expensive durian,wants,Food & Beverage
D24 durian,wants,Food & Beverage
Black Thorn,wants,Food & Beverage
Premium durian,wants,Food & Beverage
Durian feast,wants,Food & Beverage
Exotic fruits,wants,Food & Beverage
Luxury fruits,wants,Food & Beverage
Makan sedap,wants,Food & Beverage
Fine dining,wants,Food & Beverage
Fancy restaurant,wants,Food & Beverage
Expensive meal,wants,Food & Beverage
Gourmet food,wants,Food & Beverage
Upscale dining,wants,Food & Beverage
Restaurant splurge,wants,Food & Beverage
Dining out,wants,Food & Beverage
Eat at mall,wants,Food & Beverage
Buffet dinner,wants,Food & Beverage
Sushi restaurant,wants,Food & Beverage
Japanese food,wants,Food & Beverage
Korean BBQ,wants,Food & Beverage
Steamboat,wants,Food & Beverage
Hotpot restaurant,wants,Food & Beverage
Western food,wants,Food & Beverage
Italian restaurant,wants,Food & Beverage
French cuisine,wants,Food & Beverage
Michelin restaurant,wants,Food & Beverage
Celebrated meal,wants,Food & Beverage
Fast food,wants,Food & Beverage
McDonald's,wants,Food & Beverage
KFC meal,wants,Food & Beverage
Burger King,wants,Food & Beverage
Pizza Hut,wants,Food & Beverage
Dominos pizza,wants,Food & Beverage
Texas Chicken,wants,Food & Beverage
A&W,wants,Food & Beverage
Quick bite,wants,Food & Beverage
Junk food,wants,Food & Beverage
Secret Recipe cake,wants,Food & Beverage
Dessert shop,wants,Food & Beverage
Ice cream,wants,Food & Beverage
Baskin Robbins,wants,Food & Beverage
Inside Scoop,wants,Food & Beverage
Gelato,wants,Food & Beverage
Frozen yogurt,wants,Food & Beverage
Sweet treats,wants,Food & Beverage
Cake shop,wants,Food & Beverage
Pastry,wants,Food & Beverage
Bakery treats,wants,Food & Beverage
Cupcakes,wants,Food & Beverage
Macarons,wants,Food & Beverage
Premium desserts,wants,Food & Beverage
Artisan sweets,wants,Food & Beverage
Gourmet pastries,wants,Food & Beverage
Craft coffee,wants,Food & Beverage
Specialty coffee,wants,Food & Beverage
Mamak session,wants,Food & Beverage
Late night mamak,wants,Food & Beverage
Teh tarik,wants,Food & Beverage
Roti canai,wants,Food & Beverage
Nasi lemak special,wants,Food & Beverage
Seafood dinner,wants,Food & Beverage
Crab feast,wants,Food & Beverage
Lobster meal,wants,Food & Beverage
Prawns dinner,wants,Food & Beverage
Fish restaurant,wants,Food & Beverage
Steamboat buffet,wants,Food & Beverage
BBQ steamboat,wants,Food & Beverage
All you can eat,wants,Food & Beverage
Buffet rampage,wants,Food & Beverage
Unlimited food,wants,Food & Beverage
Movie ticket,wants,Entertainment
Tengok wayang,wants,Entertainment
Cinema,wants,Entertainment
GSC ticket,wants,Entertainment
TGV cinema,wants,Entertainment
MBO movies,wants,Entertainment
Film screening,wants,Entertainment
Latest movie,wants,Entertainment
Blockbuster film,wants,Entertainment
IMAX ticket,wants,Entertainment
Beli game Steam,wants,Entertainment
Gaming purchase,wants,Entertainment
Video games,wants,Entertainment
PS5 game,wants,Entertainment
Xbox game,wants,Entertainment
Nintendo Switch,wants,Entertainment
Mobile game,wants,Entertainment
In-app purchase,wants,Entertainment
Game credits,wants,Entertainment
Gaming currency,wants,Entertainment
Netflix,wants,Entertainment
Streaming service,wants,Entertainment
Netflix subscription,wants,Entertainment
Monthly Netflix,wants,Entertainment
Premium Netflix,wants,Entertainment
Disney Plus,wants,Entertainment
HBO Go,wants,Entertainment
Amazon Prime,wants,Entertainment
Apple TV Plus,wants,Entertainment
Streaming apps,wants,Entertainment
Spotify,wants,Entertainment
Music streaming,wants,Entertainment
Spotify Premium,wants,Entertainment
Apple Music,wants,Entertainment
YouTube Premium,wants,Entertainment
Music subscription,wants,Entertainment
Audio streaming,wants,Entertainment
Podcast subscription,wants,Entertainment
Digital music,wants,Entertainment
Online radio,wants,Entertainment
Astro bill,wants,Entertainment
Cable TV,wants,Entertainment
Satellite TV,wants,Entertainment
TV subscription,wants,Entertainment
Astro package,wants,Entertainment
Sports channel,wants,Entertainment
Movie channels,wants,Entertainment
Entertainment package,wants,Entertainment
Premium TV,wants,Entertainment
IPTV service,wants,Entertainment
Tiket konsert,wants,Entertainment
Concert tickets,wants,Entertainment
Live show,wants,Entertainment
Music festival,wants,Entertainment
Band concert,wants,Entertainment
Artist meet,wants,Entertainment
Fan meeting,wants,Entertainment
Stadium show,wants,Entertainment
Arena event,wants,Entertainment
Music performance,wants,Entertainment
Karaoke session,wants,Entertainment
Karaoke night,wants,Entertainment
Singing room,wants,Entertainment
KTV,wants,Entertainment
Neway karaoke,wants,Entertainment
Music box,wants,Entertainment
Karaoke party,wants,Entertainment
Group karaoke,wants,Entertainment
Singing lounge,wants,Entertainment
Private room KTV,wants,Entertainment
Arcade games,wants,Entertainment
Gaming center,wants,Entertainment
Timezone,wants,Entertainment
Game arcade,wants,Entertainment
Claw machine,wants,Entertainment
Video game center,wants,Entertainment
Gaming lounge,wants,Entertainment
Esports center,wants,Entertainment
PC gaming cafe,wants,Entertainment
Cybercafe,wants,Entertainment
Theme park ticket,wants,Entertainment
Amusement park,wants,Entertainment
Sunway Lagoon,wants,Entertainment
Genting theme park,wants,Entertainment
Legoland ticket,wants,Entertainment
Adventure park,wants,Entertainment
Water park,wants,Entertainment
Fun fair,wants,Entertainment
Carnival,wants,Entertainment
Rides and games,wants,Entertainment
Escape room,wants,Entertainment
Mystery room,wants,Entertainment
Puzzle game,wants,Entertainment
Interactive game,wants,Entertainment
Team building game,wants,Entertainment
Adventure challenge,wants,Entertainment
Mystery solving,wants,Entertainment
Group activity,wants,Entertainment
Fun experience,wants,Entertainment
Thrilling game,wants,Entertainment
Bowling,wants,Entertainment
Bowling alley,wants,Entertainment
Strike bowling,wants,Entertainment
Ten pin,wants,Entertainment
Bowling night,wants,Entertainment
Group bowling,wants,Entertainment
Bowling party,wants,Entertainment
Lane rental,wants,Entertainment
Bowling shoes,wants,Entertainment
Bowling tournament,wants,Entertainment
4D lottery,wants,Entertainment
Lottery ticket,wants,Entertainment
Toto,wants,Entertainment
Magnum 4D,wants,Entertainment
Sports Toto,wants,Entertainment
Damacai,wants,Entertainment
Gambling,wants,Entertainment
Lucky number,wants,Entertainment
Bet ticket,wants,Entertainment
Number game,wants,Entertainment
Beli baju,wants,Shopping
Shopping at Shopee,wants,Shopping
Lazada,wants,Shopping
Online shopping,wants,Shopping
E-commerce,wants,Shopping
Shopee haul,wants,Shopping
Lazada sale,wants,Shopping
Flash sale,wants,Shopping
Shopping spree,wants,Shopping
Impulse buy,wants,Shopping
Baju raya,wants,Shopping
Festival clothes,wants,Shopping
New clothes,wants,Shopping
Fashion shopping,wants,Shopping
Trendy outfit,wants,Shopping
Designer clothes,wants,Shopping
Branded apparel,wants,Shopping
Premium fashion,wants,Shopping
Luxury clothing,wants,Shopping
High street fashion,wants,Shopping
Zalora,wants,Shopping
Fashion online,wants,Shopping
Zalora shopping,wants,Shopping
Clothes delivery,wants,Shopping
Fashion haul,wants,Shopping
ASOS order,wants,Shopping
Fashion Nova,wants,Shopping
Shein purchase,wants,Shopping
H&M shopping,wants,Shopping
Zara clothes,wants,Shopping
Beli kasut baru,wants,Shopping
New shoes,wants,Shopping
Sneakers,wants,Shopping
Nike shoes,wants,Shopping
Adidas sneakers,wants,Shopping
Branded shoes,wants,Shopping
Designer footwear,wants,Shopping
Limited edition,wants,Shopping
Shoe collection,wants,Shopping
Kicks purchase,wants,Shopping
Handbag shopping,wants,Shopping
Designer bag,wants,Shopping
Luxury bag,wants,Shopping
Coach bag,wants,Shopping
Michael Kors,wants,Shopping
Louis Vuitton,wants,Shopping
Gucci bag,wants,Shopping
Premium handbag,wants,Shopping
Branded purse,wants,Shopping
Fashion accessories,wants,Shopping
Accessories shopping,wants,Shopping
Jewelry,wants,Shopping
Watch purchase,wants,Shopping
Branded watch,wants,Shopping
Luxury watch,wants,Shopping
Rolex,wants,Shopping
Smartwatch,wants,Shopping
Apple Watch,wants,Shopping
Samsung watch,wants,Shopping
Fitness tracker,wants,Shopping
Electronics shopping,wants,Shopping
Gadget purchase,wants,Shopping
New phone,wants,Shopping
iPhone,wants,Shopping
Samsung phone,wants,Shopping
Latest smartphone,wants,Shopping
Flagship phone,wants,Shopping
Pro model,wants,Shopping
Tablet purchase,wants,Shopping
iPad shopping,wants,Shopping
Laptop upgrade,wants,Shopping
MacBook,wants,Shopping
Gaming laptop,wants,Shopping
Premium laptop,wants,Shopping
Computer parts,wants,Shopping
PC upgrade,wants,Shopping
Graphics card,wants,Shopping
Gaming setup,wants,Shopping
Monitor purchase,wants,Shopping
Keyboard and mouse,wants,Shopping
Headphones,wants,Shopping
AirPods,wants,Shopping
Sony headphones,wants,Shopping
Bose speakers,wants,Shopping
Audio equipment,wants,Shopping
Smart speaker,wants,Shopping
Home theater,wants,Shopping
Sound system,wants,Shopping
Premium audio,wants,Shopping
Camera purchase,wants,Shopping
DSLR camera,wants,Shopping
Mirrorless camera,wants,Shopping
Canon camera,wants,Shopping
Sony camera,wants,Shopping
Photography gear,wants,Shopping
Camera lens,wants,Shopping
Tripod purchase,wants,Shopping
Camera accessories,wants,Shopping
Photography equipment,wants,Shopping
Furniture shopping,wants,Shopping
IKEA furniture,wants,Shopping
Home decor,wants,Shopping
Interior items,wants,Shopping
Decorative pieces,wants,Shopping
Sofa purchase,wants,Shopping
Bed frame,wants,Shopping
Mattress upgrade,wants,Shopping
Premium furniture,wants,Shopping
Designer furniture,wants,Shopping
Makeup shopping,wants,Shopping
Cosmetics haul,wants,Shopping
Sephora shopping,wants,Shopping
Beauty products,wants,Shopping
Skincare routine,wants,Shopping
Premium makeup,wants,Shopping
Luxury cosmetics,wants,Shopping
Perfume shopping,wants,Shopping
Designer fragrance,wants,Shopping
Expensive perfume,wants,Shopping
Chanel perfume,wants,Shopping
Dior fragrance,wants,Shopping
Tom Ford scent,wants,Shopping
Luxury scent,wants,Shopping
Signature perfume,wants,Shopping
Cologne purchase,wants,Shopping
Perfume collection,wants,Shopping
Premium fragrance,wants,Shopping
Books shopping,wants,Shopping
Bookstore haul,wants,Shopping
Novel purchase,wants,Shopping
Manga collection,wants,Shopping
Comics buying,wants,Shopping
Coffee table books,wants,Shopping
Collector's edition,wants,Shopping
Limited book,wants,Shopping
Hardcover books,wants,Shopping
Book collection,wants,Shopping
Toys shopping,wants,Shopping
Action figures,wants,Shopping
Collectibles,wants,Shopping
Funko Pop,wants,Shopping
LEGO sets,wants,Shopping
Model kits,wants,Shopping
Gundam models,wants,Shopping
Trading cards,wants,Shopping
Pokemon cards,wants,Shopping
Hobby supplies,wants,Shopping
Vacation,wants,Others
Pergi bercuti,wants,Others
Holiday trip,wants,Others
Travel expenses,wants,Others
Tourism,wants,Others
Vacation package,wants,Others
Travel booking,wants,Others
Flight tickets,wants,Others
Hotel booking,wants,Others
Resort stay,wants,Others
Hobby,wants,Others
Hobby materials,wants,Others
Craft supplies,wants,Others
Art materials,wants,Others
Painting supplies,wants,Others
Drawing tools,wants,Others
Photography hobby,wants,Others
Collecting hobby,wants,Others
DIY materials,wants,Others
Creative supplies,wants,Others
Gym,wants,Others
Gym membership,wants,Others
Fitness center,wants,Others
Personal trainer,wants,Others
Yoga class,wants,Others
Zumba class,wants,Others
Pilates session,wants,Others
Fitness class,wants,Others
Workout session,wants,Others
Exercise class,wants,Others
Delivery fee,wants,Others
Service charge,wants,Others
Convenience fee,wants,Others
Extra charges,wants,Others
Surcharge,wants,Others
Premium delivery,wants,Others
Express shipping,wants,Others
Fast delivery,wants,Others
Same day delivery,wants,Others
Priority shipping,wants,Others
Subscription,wants,Others
Monthly subscription,wants,Others
Premium membership,wants,Others
VIP access,wants,Others
Exclusive subscription,wants,Others
Digital subscription,wants,Others
App subscription,wants,Others
Software subscription,wants,Others
Cloud storage,wants,Others
Online service,wants,Others
Spa treatment,wants,Others
Massage session,wants,Others
Body massage,wants,Others
Reflexology,wants,Others
Facial treatment,wants,Others
Manicure pedicure,wants,Others
Nail salon,wants,Others
Beauty treatment,wants,Others
Wellness spa,wants,Others
Relaxation session,wants,Others
Hair salon,wants,Others
Hairstyling,wants,Others
Hair coloring,wants,Others
Rebonding,wants,Others
Hair treatment,wants,Others
Salon pampering,wants,Others
Premium salon,wants,Others
Hair spa,wants,Others
Styling session,wants,Others
Makeover,wants,Others
Pet grooming,wants,Others
Dog grooming,wants,Others
Cat grooming,wants,Others
Pet spa,wants,Others
Pet salon,wants,Others
Pet accessories,wants,Others
Pet toys,wants,Others
Pet clothes,wants,Others
Pet treats,wants,Others
Premium pet food,wants,Others
Donation,wants,Others
Charity,wants,Others
Giving back,wants,Others
Help others,wants,Others
Fundraising,wants,Others
Sponsorship,wants,Others
Community support,wants,Others
Social cause,wants,Others
Volunteer expenses,wants,Others
Philanthropic giving,wants,Others
Car wash premium,wants,Others
Car detailing,wants,Others
Vehicle spa,wants,Others
Car polish,wants,Others
Waxing service,wants,Others
Interior cleaning,wants,Others
Premium wash,wants,Others
Auto detailing,wants,Others
Car makeover,wants,Others
Vehicle beautification,wants,Others
Bayar ansuran motor,needs,Financial Services
Motorcycle loan,needs,Financial Services
Bike installment,needs,Financial Services
Motor payment,needs,Financial Services
Scooter loan,needs,Financial Services
Vehicle financing,needs,Financial Services
Hire purchase,needs,Financial Services
HP payment,needs,Financial Services
Credit card payment,needs,Financial Services
Pay credit card,needs,Financial Services
Bayar kad kredit,needs,Financial Services
Minimum payment,needs,Financial Services
CC bill,needs,Financial Services
Credit settlement,needs,Financial Services
Zakat payment,needs,Financial Services
Zakat fitrah,needs,Financial Services
Religious obligation,needs,Financial Services
Zakat income,needs,Financial Services
Islamic tax,needs,Financial Services
Charity obligation,needs,Financial Services
Mandatory charity,needs,Financial Services
Tabung haji,needs,Financial Services
Savings account,needs,Financial Services
Investment payment,needs,Financial Services
EPF contribution,needs,Financial Services
KWSP,needs,Financial Services
Retirement savings,needs,Financial Services
Provident fund,needs,Financial Services
Social security,needs,Financial Services
SOCSO payment,needs,Financial Services
PERKESO,needs,Financial Services
Employment insurance,needs,Financial Services
EIS payment,needs,Financial Services
Worker contribution,needs,Financial Services
Medical bills,needs,Others
Hospital bills,needs,Others
Surgery costs,needs,Others
Medical procedure,needs,Others
Lab tests,needs,Others
Blood test,needs,Others
X-ray scan,needs,Others
CT scan,needs,Others
MRI scan,needs,Others
Diagnostic tests,needs,Others
Emergency treatment,needs,Others
Urgent care,needs,Others
Ambulance fee,needs,Others
Medical emergency,needs,Others
ICU charges,needs,Others
Ward charges,needs,Others
Vaccination,needs,Others
Immunization,needs,Others
Flu vaccine,needs,Others
COVID vaccine,needs,Others
Child vaccination,needs,Others
Therapy session,needs,Others
Physiotherapy,needs,Others
Physical therapy,needs,Others
Rehabilitation,needs,Others
Medical therapy,needs,Others
Beli susu ibu,needs,Food & Beverage
Mother's milk,needs,Food & Beverage
Breast milk supplement,needs,Food & Beverage
Baby cereal,needs,Food & Beverage
Infant nutrition,needs,Food & Beverage
Isi gas dapur,needs,Telecommunication
Cooking gas refill,needs,Telecommunication
LPG cylinder,needs,Telecommunication
Gas bottle,needs,Telecommunication
Tong gas,needs,Telecommunication
Kitchen gas,needs,Telecommunication
Propane tank,needs,Telecommunication
Road tax kereta,needs,Financial Services
Vehicle road tax,needs,Financial Services
Roadtax renewal,needs,Financial Services
Car registration,needs,Financial Services
JPJ payment,needs,Financial Services
Motor road tax,needs,Financial Services
Annual road tax,needs,Financial Services
Puspakom inspection,needs,Transportation
